2015-12-07T17:29:39.371+0900 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
2015-12-07T17:32:13.132+0900 I NETWORK  [conn54] end connection 127.0.0.1:49688 (2 connections now open)
2015-12-07T17:32:13.132+0900 I NETWORK  [conn52] end connection 127.0.0.1:49686 (1 connection now open)
2015-12-07T17:32:13.132+0900 I NETWORK  [conn53] end connection 127.0.0.1:49687 (0 connections now open)
2015-12-07T17:32:14.072+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49722 #57 (1 connection now open)
2015-12-07T17:32:14.075+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49723 #58 (2 connections now open)
2015-12-07T17:32:14.075+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49724 #59 (3 connections now open)
2015-12-07T17:32:14.075+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49725 #60 (4 connections now open)
2015-12-07T17:32:14.075+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49726 #61 (5 connections now open)
2015-12-07T17:32:22.646+0900 I NETWORK  [conn57] end connection 127.0.0.1:49722 (4 connections now open)
2015-12-07T17:32:22.646+0900 I NETWORK  [conn61] end connection 127.0.0.1:49726 (3 connections now open)
2015-12-07T17:32:22.646+0900 I NETWORK  [conn60] end connection 127.0.0.1:49725 (2 connections now open)
2015-12-07T17:32:22.646+0900 I NETWORK  [conn59] end connection 127.0.0.1:49724 (1 connection now open)
2015-12-07T17:32:22.646+0900 I NETWORK  [conn58] end connection 127.0.0.1:49723 (0 connections now open)
2015-12-07T17:32:24.307+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49770 #62 (1 connection now open)
2015-12-07T17:32:24.307+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49771 #63 (2 connections now open)
2015-12-07T17:32:24.309+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49772 #64 (3 connections now open)
2015-12-07T17:32:24.309+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49773 #65 (4 connections now open)
2015-12-07T17:32:24.309+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49774 #66 (5 connections now open)
2015-12-07T17:32:28.264+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49795 #67 (6 connections now open)
2015-12-07T17:32:28.272+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49796 #68 (7 connections now open)
2015-12-07T17:32:31.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49797 #69 (8 connections now open)
2015-12-07T17:32:31.259+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49798 #70 (9 connections now open)
2015-12-07T17:32:33.695+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49799 #71 (10 connections now open)
2015-12-07T17:32:33.704+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49800 #72 (11 connections now open)
2015-12-07T17:32:39.351+0900 I NETWORK  [conn62] end connection 127.0.0.1:49770 (10 connections now open)
2015-12-07T17:32:39.351+0900 I NETWORK  [conn63] end connection 127.0.0.1:49771 (9 connections now open)
2015-12-07T17:32:39.351+0900 I NETWORK  [conn66] end connection 127.0.0.1:49774 (8 connections now open)
2015-12-07T17:32:39.351+0900 I NETWORK  [conn64] end connection 127.0.0.1:49772 (7 connections now open)
2015-12-07T17:32:39.351+0900 I NETWORK  [conn65] end connection 127.0.0.1:49773 (7 connections now open)
2015-12-07T17:32:40.873+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49809 #73 (7 connections now open)
2015-12-07T17:32:40.873+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49810 #74 (8 connections now open)
2015-12-07T17:32:40.876+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49811 #75 (9 connections now open)
2015-12-07T17:32:40.876+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49812 #76 (10 connections now open)
2015-12-07T17:32:40.876+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49813 #77 (11 connections now open)
2015-12-07T17:33:10.902+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49838 #78 (12 connections now open)
2015-12-07T17:33:10.910+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49839 #79 (13 connections now open)
2015-12-07T17:35:00.709+0900 I NETWORK  [conn77] end connection 127.0.0.1:49813 (12 connections now open)
2015-12-07T17:35:00.709+0900 I NETWORK  [conn76] end connection 127.0.0.1:49812 (11 connections now open)
2015-12-07T17:35:00.709+0900 I NETWORK  [conn73] end connection 127.0.0.1:49809 (10 connections now open)
2015-12-07T17:35:00.709+0900 I NETWORK  [conn75] end connection 127.0.0.1:49811 (10 connections now open)
2015-12-07T17:35:00.709+0900 I NETWORK  [conn74] end connection 127.0.0.1:49810 (10 connections now open)
2015-12-07T17:35:01.720+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49854 #80 (9 connections now open)
2015-12-07T17:35:01.722+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49855 #81 (10 connections now open)
2015-12-07T17:35:01.722+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49856 #82 (11 connections now open)
2015-12-07T17:35:01.722+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49857 #83 (12 connections now open)
2015-12-07T17:35:01.722+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49858 #84 (13 connections now open)
2015-12-07T17:35:07.843+0900 I NETWORK  [conn84] end connection 127.0.0.1:49858 (12 connections now open)
2015-12-07T17:35:07.843+0900 I NETWORK  [conn80] end connection 127.0.0.1:49854 (12 connections now open)
2015-12-07T17:35:07.843+0900 I NETWORK  [conn83] end connection 127.0.0.1:49857 (12 connections now open)
2015-12-07T17:35:07.843+0900 I NETWORK  [conn81] end connection 127.0.0.1:49855 (12 connections now open)
2015-12-07T17:35:07.843+0900 I NETWORK  [conn82] end connection 127.0.0.1:49856 (12 connections now open)
2015-12-07T17:35:08.865+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49870 #85 (9 connections now open)
2015-12-07T17:35:08.865+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49871 #86 (10 connections now open)
2015-12-07T17:35:08.867+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49872 #87 (11 connections now open)
2015-12-07T17:35:08.868+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49873 #88 (12 connections now open)
2015-12-07T17:35:08.868+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49874 #89 (13 connections now open)
2015-12-07T17:35:46.383+0900 I NETWORK  [conn86] end connection 127.0.0.1:49871 (12 connections now open)
2015-12-07T17:35:46.384+0900 I NETWORK  [conn89] end connection 127.0.0.1:49874 (11 connections now open)
2015-12-07T17:35:46.384+0900 I NETWORK  [conn88] end connection 127.0.0.1:49873 (10 connections now open)
2015-12-07T17:35:46.384+0900 I NETWORK  [conn85] end connection 127.0.0.1:49870 (10 connections now open)
2015-12-07T17:35:46.384+0900 I NETWORK  [conn87] end connection 127.0.0.1:49872 (8 connections now open)
2015-12-07T17:35:47.471+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49902 #90 (9 connections now open)
2015-12-07T17:35:47.474+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49903 #91 (10 connections now open)
2015-12-07T17:35:47.474+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49904 #92 (11 connections now open)
2015-12-07T17:35:47.474+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49905 #93 (12 connections now open)
2015-12-07T17:35:47.474+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49906 #94 (13 connections now open)
2015-12-07T17:36:03.085+0900 I NETWORK  [conn90] end connection 127.0.0.1:49902 (12 connections now open)
2015-12-07T17:36:03.085+0900 I NETWORK  [conn94] end connection 127.0.0.1:49906 (11 connections now open)
2015-12-07T17:36:03.085+0900 I NETWORK  [conn93] end connection 127.0.0.1:49905 (10 connections now open)
2015-12-07T17:36:03.085+0900 I NETWORK  [conn92] end connection 127.0.0.1:49904 (9 connections now open)
2015-12-07T17:36:03.085+0900 I NETWORK  [conn91] end connection 127.0.0.1:49903 (9 connections now open)
2015-12-07T17:36:04.132+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49933 #95 (9 connections now open)
2015-12-07T17:36:04.132+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49934 #96 (10 connections now open)
2015-12-07T17:36:04.134+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49935 #97 (11 connections now open)
2015-12-07T17:36:04.134+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49936 #98 (12 connections now open)
2015-12-07T17:36:04.134+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49937 #99 (13 connections now open)
